event_start, event_dt, event_stats[0], event_stats[1], event_stats[2]
872180,9,8,92,420
872244,9,17,203,1040
872274,10,26,311,1462
872586,12,25,330,1581
872921,311,20970,333627,5850934
873285,152,12091,220958,4154702
873449,8,9,91,432
873459,9,3,22,90
873482,12,9,79,372
873502,93,6850,109036,1934217
873633,9,24,287,1310
873647,312,21388,317279,5218500
873997,14,1694,52524,410830
874016,7,513,7905,32754
874033,184,15487,264521,4183319
874244,28,1987,58277,875509
874281,183,13613,257194,4179039
874491,26,1049,43115,765936
874527,183,14518,244043,3855469
874737,27,1940,56410,846019
874775,182,13396,259622,4302810
874984,26,1051,44637,716525
875020,184,14536,246686,3847257
875212,9,20,260,1255
875231,26,1044,44318,775915
875268,183,13792,261114,4436509
875477,26,1492,50843,801326
875514,183,14697,243123,3719323
875724,27,1467,49225,793604
875761,183,13977,254922,4182744
875970,26,1112,45721,751053
876007,183,15024,256268,3923011
876218,26,1192,47415,771004
876254,183,14227,257960,4261927
876464,26,1025,45173,735595
876500,184,14944,247763,3863932
876711,27,1069,43608,792760
876748,182,14460,259771,4102951
876952,3,1,8,28
876959,24,900,39317,641209
876994,183,14554,246402,3864336
877204,27,1063,46396,793762
877241,183,14451,258630,4274204
877452,24,899,38404,613327
877487,95,9094,113311,1370935
877585,85,6628,153060,3636543
877697,27,1784,54834,836395
877734,183,14555,246551,4069699
877944,26,1254,45841,719553
877980,184,15527,247751,3872409
878191,22,1957,56276,682714
878227,183,13871,250667,4186582
878437,26,1766,54322,809882
878473,184,15761,253596,3876244
878676,35,916,37680,600783
878721,183,14561,252773,4186469
879171,6,24,216,726
879188,2,3,28,91
879314,3,1,14,33
879328,5,8,65,240
879496,12,62,638,2306
879623,10,17,162,683
879648,8,19,195,800
879798,6,25,223,753
879813,5,4,40,129
879846,13,20,362,2512
879954,6,8,69,234
880141,3,19,143,506
880156,9,9,68,252
880240,8,31,330,1030
880290,10,29,351,1658
880401,12,42,531,2673
880420,9,18,200,965
880487,8,248,2425,8785
880631,8,547,6001,23025
880653,4,3,27,86
880734,9,463,4599,15776
880880,5,13,104,371
880896,10,86,694,2909
880980,9,1069,11510,45546
881124,9,710,8005,33571
881147,6,17,135,478
881229,6,7,72,229
881339,4,1,7,25
881365,11,29,424,2244
881392,10,14,110,427
881473,8,853,8216,31386
881494,9,26,361,1849
881595,8,10,102,358
881617,9,429,4581,17376
881637,10,69,563,2236
881720,11,445,4230,15521
881817,9,7,67,278
881835,3,1,7,25
881881,14,342,2928,12855
881967,6,67,689,2280
882112,6,257,2509,9061
